
    -    192.168.0.40    -    2023/07/10 - 15:49:55    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
    -    192.168.0.40    -    2023/07/10 - 15:49:58    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
    -    192.168.0.40    -    2023/07/10 - 15:50:01    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Despostada    -    192.168.0.44    -    2023/07/10 - 16:29:25    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Mauro    -    192.168.0.4    -    2023/07/10 - 16:29:25    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Eti Int Nº1    -    192.168.0.138    -    2023/07/10 - 16:29:28    -    Fallo        -    Tiempo de espera agotado para esta solicitud.
Mauro    -    192.168.0.4    -    2023/07/10 - 16:31:51    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Despostada    -    192.168.0.44    -    2023/07/10 - 16:31:51    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Temp Calidad    -    192.168.0.100    -    2023/07/10 - 16:31:51    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Eti Int Nº2    -    192.168.0.117    -    2023/07/10 - 16:31:51    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
w    -    192.168.0.40    -    2023/07/10 - 16:31:51    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Dinamica    -    192.168.0.47    -    2023/07/10 - 16:31:51    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Camaras    -    192.168.0.150    -    2023/07/10 - 16:31:51    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Entrada Cuarteo    -    192.168.0.49    -    2023/07/10 - 16:31:51    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Eti Int Nº1    -    192.168.0.138    -    2023/07/10 - 16:31:53    -    Fallo        -    Tiempo de espera agotado para esta solicitud.
Temp Calidad    -    192.168.0.100    -    2023/07/10 - 16:31:54    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Mauro    -    192.168.0.4    -    2023/07/10 - 16:31:54    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Dinamica    -    192.168.0.47    -    2023/07/10 - 16:31:54    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Eti Int Nº2    -    192.168.0.117    -    2023/07/10 - 16:31:54    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Despostada    -    192.168.0.44    -    2023/07/10 - 16:31:54    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
w    -    192.168.0.40    -    2023/07/10 - 16:31:54    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Entrada Cuarteo    -    192.168.0.49    -    2023/07/10 - 16:31:54    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Camaras    -    192.168.0.150    -    2023/07/10 - 16:31:54    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
w    -    192.168.0.40    -    2023/07/10 - 16:31:57    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Eti Int Nº2    -    192.168.0.117    -    2023/07/10 - 16:31:57    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Despostada    -    192.168.0.44    -    2023/07/10 - 16:31:57    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Camaras    -    192.168.0.150    -    2023/07/10 - 16:31:57    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Entrada Cuarteo    -    192.168.0.49    -    2023/07/10 - 16:31:57    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Mauro    -    192.168.0.4    -    2023/07/10 - 16:31:57    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Dinamica    -    192.168.0.47    -    2023/07/10 - 16:31:57    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
Temp Calidad    -    192.168.0.100    -    2023/07/10 - 16:31:57    -    Inacces.     -    Respuesta desde 192.168.0.154: Host de destino inaccesible.
